"season","site_status","catch_per_trap"
"rainy season","Absent",0.004047657339147583
"rainy season","Absent",0.004496625735632473
"rainy season","Absent",0.0036978119467532895
"rainy season","Absent",0.0029315880681559984
"rainy season","Absent",0.004650523430588312
"rainy season","Absent",0.0033904453314775426
"rainy season","Absent",0.0033510585432419363
"rainy season","Absent",0.00477013820837282
"rainy season","Absent",0.005876685890687926
"rainy season","Absent",0.008076715391904474
"rainy season","Absent",0.00815999273765318
"rainy season","Absent",0.0010788970604405951
"rainy season","Absent",0.01891133124111227
"rainy season","Absent",0.0023671490036715624
"rainy season","Absent",0.007737396635206808
"rainy season","Absent",0.00805612183636799
"rainy season","Absent",0.003061206988814849
"rainy season","Absent",0.003312742111753786
"rainy season","Absent",0.007173504292808971
"rainy season","Absent",0.0042166006867930365
"rainy season","Absent",0.002437091399788243
"rainy season","Absent",0.005591084519437116
"rainy season","Absent",0.0057027999810921855
"rainy season","Absent",0.0017907674643203
"rainy season","Absent",0.0029295483927499395
"rainy season","Absent",0.004660367366215461
"rainy season","Absent",0.002164879017827859
"rainy season","Absent",0.006176457450160277
"rainy season","Absent",0.004052254038360853
"rainy season","Absent",0.004569470249233944
"rainy season","Absent",0.004962021801649458
"rainy season","Absent",0.002399942020608116
"rainy season","Absent",0.007438173184534893
"rainy season","Absent",0.0025367742128998435
"rainy season","Absent",0.003966492801690452
"rainy season","Absent",0.0036800092986405217
"rainy season","Absent",0.005683812821841579
"rainy season","Absent",0.006622972444928687
"rainy season","Absent",0.005954684846960998
"rainy season","Absent",0.002537421172808018
"rainy season","Absent",0.005109278900940769
"rainy season","Absent",0.006975041510264609
"rainy season","Absent",0.0038730862853961455
"rainy season","Absent",0.005689960345639957
"rainy season","Absent",0.005749668948524422
"rainy season","Absent",0.005998067169910715
"rainy season","Absent",0.0023505007932940933
"rainy season","Absent",0.004897340383994075
"rainy season","Absent",0.006109832257132285
"rainy season","Absent",0.006630452677273389
"rainy season","Absent",0.006925894954167822
"rainy season","Absent",0.002287378218605192
"rainy season","Absent",0.0036068978406048053
"rainy season","Absent",0.004813884174730137
"rainy season","Absent",0.001943820330106229
"rainy season","Absent",0.0029578873458087082
"rainy season","Absent",0.0021713352024096315
"rainy season","Absent",0.007931358075926974
"rainy season","Absent",0.00703550293898199
"rainy season","Absent",0.004118842918867908
"rainy season","Absent",0.005015290164098731
